indication id,indication name,slug,generics count
2011,Acrocyanosis,acrocyanosis-2011,1
2010,Acquired immunodeficiency syndrome (AIDS),acquired-immunodeficiency-syndrome-aids-2010,10
2009,Acne vulgaris,acne-vulgaris-2009,37
3908,Acne rosacea,acne-rosacea-3908,0
2008,Acidosis,acidosis-2008,2
2007,Acid-related dyspepsia,acid-related-dyspepsia-2007,6
2006,Acid regurgitation,acid-regurgitation-2006,9
2005,Achalasia,achalasia-2005,3
2004,Absence seizures,absence-seizures-2004,3
2003,Abscesses,abscesses-2003,7
2002,Abrasion,abrasion-2002,5
2001,Abortion,abortion-2001,5
2000,Abdominal pain,abdominal-pain-2000,6
3637,Acute and chronic diseases of respiratory tracts,acute-and-chronic-diseases-of-respiratory-tracts-3637,1
2019,Acute agitation,acute-agitation-2019,4
2015,Acute & chronic conjunctivitis,acute-chronic-conjunctivitis-2015,7
4055,Active immunization against typhoid fever,active-immunization-against-typhoid-fever-4055,1
4193,Active immunization against Hepatitis A virus,active-immunization-against-hepatitis-a-virus-4193,0
3976,Active immunisation for the prevention of pneumonia,active-immunisation-for-the-prevention-of-pneumonia-3976,0
4056,Active immunisation against varicella infection,active-immunisation-against-varicella-infection-4056,1
2014,Active immunisation against tetanus,active-immunisation-against-tetanus-2014,3
4004,Active immunisation against rabies,active-immunisation-against-rabies-4004,2
3131,Active immunisation against Poliomyelitis,active-immunisation-against-poliomyelitis-3131,2
2933,Active immunisation against mumps,active-immunisation-against-mumps-2933,0
3855,Active immunisation against hepatitis B,active-immunisation-against-hepatitis-b-3855,1
3854,Active immunisation against hepatitis A,active-immunisation-against-hepatitis-a-3854,2
4099,"Active immunisation against diphtheria, tetanus and pertussis",active-immunisation-against-diphtheria-tetanus-and-pertussis-4099,3
2013,Actinic keratosis,actinic-keratosis-2013,2
3775,Acromegaly and hyperprolactinemia,acromegaly-and-hyperprolactinemia-3775,0
2012,Acromegaly,acromegaly-2012,2
2023,Acute gonorrheal urethritis,acute-gonorrheal-urethritis-2023,4
4162,Acute Exposure to Blood Containing HBsAg,acute-exposure-to-blood-containing-hbsag-4162,1
2016,Acute Exacerbations of Chronic bronchitis,acute-exacerbations-of-chronic-bronchitis-2016,12
4023,Acute Evolving Myocardial Infarction,acute-evolving-myocardial-infarction-4023,1
4005,Acute diarrhoea,acute-diarrhoea-4005,1
3931,Acute dental infections,acute-dental-infections-3931,1
4048,"Acute coronary syndromes (unstable angina, non-ST elevation MI, ST elevation MI)",acute-coronary-syndromes-unstable-angina-non-st-elevation-mi-st-elevation-mi-4048,1
3658,Acute coronary syndrome,acute-coronary-syndrome-3658,5
4059,Acute coronary insufficiency,acute-coronary-insufficiency-4059,1
3646,Acute bronchospasm,acute-bronchospasm-3646,8
2022,Acute bacterial sinusitis,acute-bacterial-sinusitis-2022,8
3711,Acute bacterial exacerbations of chronic bronchitis,acute-bacterial-exacerbations-of-chronic-bronchitis-3711,7
2021,Acute bacterial ear infections,acute-bacterial-ear-infections-2021,5
2020,Acute asthma,acute-asthma-2020,14
2018,Acute Ml,acute-ml-2018,11
2028,Acute migraine attacks,acute-migraine-attacks-2028,10
3710,Acute maxillary sinusitis,acute-maxillary-sinusitis-3710,6
4024,Acute Massive Pulmonary Embolism,acute-massive-pulmonary-embolism-4024,1
3657,Acute manic episodes of bipolar disorder,acute-manic-episodes-of-bipolar-disorder-3657,3
2017,Acute Lymphocytic Leukemia,acute-lymphocytic-leukemia-2017,10
4064,Acute lymphoblastic leukaemia,acute-lymphoblastic-leukaemia-4064,2
2027,Acute lupus erythematosus,acute-lupus-erythematosus-2027,9
3631,Acute hypovolaemic shock,acute-hypovolaemic-shock-3631,1
4058,Acute hypertension,acute-hypertension-4058,1
4179,Acute hemorrhoidal thrombosis,acute-hemorrhoidal-thrombosis-4179,2
2026,Acute heart failure,acute-heart-failure-2026,18
2025,Acute graft rejection in renal transplantation,acute-graft-rejection-in-renal-transplantation-2025,2
3673,Acute gouty arthritis,acute-gouty-arthritis-3673,3
2024,Acute gout,acute-gout-2024,10
3946,Acute and chronic non-infectious conjunctivitis,acute-and-chronic-non-infectious-conjunctivitis-3946,1
2037,Acute rheumatic carditis,acute-rheumatic-carditis-2037,4
2036,Acute renal failure,acute-renal-failure-2036,7
3716,Acute purulent conjunctivitis,acute-purulent-conjunctivitis-3716,1
